"時点","地域コード","地域","漁獲量【トン】","注記"
"1979年","16000","富山県","48778",""
"1980年","16000","富山県","46978",""
"1981年","16000","富山県","50118",""
"1982年","16000","富山県","44061",""
"1983年","16000","富山県","51451",""
"1984年","16000","富山県","47410",""
"1985年","16000","富山県","42885",""
"1986年","16000","富山県","35362",""
"1987年","16000","富山県","38490",""
"1988年","16000","富山県","38449",""
"1989年","16000","富山県","39027",""
"1990年","16000","富山県","47422",""
"1991年","16000","富山県","42520",""
"1992年","16000","富山県","50833",""
"1993年","16000","富山県","42693",""
"1994年","16000","富山県","43058",""
"1995年","16000","富山県","50234",""
"1996年","16000","富山県","45986",""
"1997年","16000","富山県","51062",""
"1998年","16000","富山県","41183",""
"1999年","16000","富山県","45106",""
"2000年","16000","富山県","50478",""
"2001年","16000","富山県","46642",""
"2002年","16000","富山県","42655",""
"2003年","16000","富山県","46503",""
"2004年","16000","富山県","42228",""
